Prefijo,Categoria,Subcategoria,MaxNumero,Count,NextCodigo,Tipo
CCC,Maderas,Maderas reconstituidas,5233,1,CCC5234,MATERIALES
MAA,Hormigones y morteros,Hormigones,6389,65,MAA6390,MATERIALES
MAB,Hormigones y morteros,Morteros,5852,48,MAB5853,MATERIALES
MAC,Hormigones y morteros,Cementos,4145,12,MAC4146,MATERIALES
MAD,Hormigones y morteros,Cal y yeso,3738,15,MAD3739,MATERIALES
MAE,Hormigones y morteros,Aridos,6482,89,MAE6483,MATERIALES
MAF,Hormigones y morteros,Aditivos,6981,149,MAF6982,MATERIALES
MAG,Hormigones y morteros,Postes de hormigon,7212,10,MAG7213,MATERIALES
MAH,Hormigones y morteros,Resinas epoxicas,6535,23,MAH6536,MATERIALES
MAI,Hormigones y morteros,Desmoldantes,5977,30,MAI5978,MATERIALES
MAJ,Hormigones y morteros,Materiales para juntas de dila,6537,28,MAJ6538,MATERIALES
MAK,Hormigones y morteros,Separadores de moldaje,6452,3,MAK6453,MATERIALES
MAL,Hormigones y morteros,Membrana de curado,6534,32,MAL6535,MATERIALES
MAM,Hormigones y morteros,Otros,2239,13,MAM2240,MATERIALES
MAN,Hormigones y morteros,Prefabricados,7,7,MAN8,MATERIALES
MBA,Ladrillos y bloques,Ladrillos,6406,19,MBA6407,MATERIALES
MBC,Ladrillos y bloques,Cemento,7221,36,MBC7222,MATERIALES
MCA,Maderas,Maderas en bruto,7881,73,MCA7882,MATERIALES
MCB,Maderas,Maderas elaboradas,7880,81,MCB7881,MATERIALES
MCC,Maderas,Maderas reconstituidas,6924,93,MCC6925,MATERIALES
MCD,Maderas,Tableros revestidos,6909,100,MCD6910,MATERIALES
MCF,Maderas,Postes,5833,13,MCF5834,MATERIALES
MCG,Maderas,Casetas prefabricadas,6768,5,MCG6769,MATERIALES
MCH,Maderas,Molduras de maderas,7034,41,MCH7035,MATERIALES
MCI,Maderas,Otros,6704,20,MCI6705,MATERIALES
MDA,Metales,Acero redondo con resaltes,3354,9,MDA3355,MATERIALES
MDB,Metales,Acero redondo liso,3578,9,MDB3579,MATERIALES
