Codigo,Nat,Ud,Resumen,CanPres,Pres,ImpPres,Categoria,Subcategoria,Fecha
MAA00575,Material,m3,Hormigon 170 kg/cem/m3 s/b,0.0,42224.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA00740,Material,m3,P-042-40-02 niv.conf. 80%,0.0,58652.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA00741,Material,m3,P-50(80) 40-8,0.0,46028.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA00742,Material,m3,P-45(90)40-8,0.0,42552.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA00743,Material,m3,Hormigon HEB-30 (90)20-10 Dramix,0.0,108035.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA00814,Material,m3,Hormigon 212 kg/cem/m3,0.0,30999.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA00816,Material,m3,Hormigon 340 kg/cem/m3,0.0,40317.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA00817,Material,m3,Hormigon 450 kg/cem/m3,0.0,48043.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA00820,Material,m3,Hormigon 400 kg/cem/m3,0.0,44361.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA01629,Material,m3,Hormigon 225 kg/cem/m3,0.0,35522.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA03545,Material,m3,Horm. proyec shotcret s-255,0.0,85500.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA03561,Material,m3,S-170-40-06,0.0,26748.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA03565,Material,m3,H-225-40-06 niv.conf. 80%,0.0,32354.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA04147,Material,m3,Hormigon hb35(80)40/8 bomb,0.0,39552.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA04148,Material,m3,Hormigon hb40(80)40/8 bomb,0.0,41046.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA04149,Material,m3,Hormigon hn40(80)40/5,0.0,41046.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA04150,Material,m3,Hormigon hf3.8(80)40/3 flex,0.0,35822.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA04151,Material,m3,Hormigon hf4.2(80)40/3 flex,0.0,36270.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA04152,Material,m3,Hormigon hf4.0(80)40/3 flex,0.0,35971.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA04153,Material,m3,Hormigon hf4.5(80)40/3 flex,0.0,38807.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
